Price,District,Ward,Time,Area
3 triệu/tháng, Quận Thanh Xuân, Phường Nhân Chính,05/04/2020, 30m2
2.3 triệu/tháng, Huyện Thanh Trì, Xã Tân Triều,02/04/2020, 15m2
4.5 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,01/04/2020, 35m2
3.15 triệu/tháng, Quận Ba Đình, Phường Nguyễn Trung Trực,31/03/2020, 20m2
2.6 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,31/03/2020, 20m2
2 triệu/tháng, Quận Đống Đa, Phường Trung Liệt,29/03/2020, 15m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,29/03/2020, 10m2
2.5 triệu/tháng, Quận Bắc Từ Liêm, Phường Phúc Diễn,28/03/2020, 30m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Thanh Trì,28/03/2020, 30m2
1.2 triệu/tháng, Quận Hoàng Mai, Phường Tân Mai,28/03/2020, 20m2
2.4 triệu/tháng, Quận Bắc Từ Liêm, Phường Cổ Nhuế 2,27/03/2020, 25m2
1.4 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mỹ Đình 1,27/03/2020, 20m2
1 triệu/tháng, Quận Long Biên, Phường Ngọc Thụy,26/03/2020, 10m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,25/03/2020, 15m2
2.2 triệu/tháng, Quận Hoàng Mai, Phường Mai Động,25/03/2020, 18m2
3.5 triệu/tháng, Quận Cầu Giấy,Địa chỉ: Phường Yên Hòa,25/03/2020, 30m2
2.3 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,24/03/2020, 30m2
3 triệu/tháng, Quận Đống Đa, Phường Khương Thượng,24/03/2020, 45m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,24/03/2020, 15m2
3.4 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,23/03/2020, 28m2
2 triệu/tháng, Quận Hoàng Mai, Phường Tân Mai,21/03/2020, 20m2
1.7 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,08/03/2020, 20m2
2 triệu/tháng, Quận Ba Đình, Phường Đội Cấn,08/03/2020, 10m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Định Công,07/03/2020, 30m2
3.3 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Phú Đô,06/03/2020, 25m2
2.3 triệu/tháng, Quận Thanh Xuân, Phường Khương Trung,06/03/2020, 16m2
4.2 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,05/03/2020, 35m2
4 triệu/tháng, Quận Hà Đông,Địa chỉ: Phường Mỗ Lao,05/03/2020, 35m2
3 triệu/tháng, Quận Đống Đa, Phường Thịnh Quang,05/03/2020, 20m2
2.3 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,05/03/2020, 16m2
5.5 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,04/03/2020, 35m2
3 triệu/tháng, Quận Hai Bà Trưng, Phường Vĩnh Tuy,04/03/2020, 19m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Lĩnh Nam,04/03/2020, 20m2
2.7 triệu/tháng, Quận Hoàng Mai, Phường Lĩnh Nam,04/03/2020, 30m2
2.2 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Văn Thụ,03/03/2020, 18m2
4 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,29/02/2020, 45m2
1 triệu/tháng, Quận Bắc Từ Liêm, Phường Phú Diễn,29/02/2020, 17m2
2.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,29/02/2020, 30m2
2 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Tân,28/02/2020, 20m2
4.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mỹ Đình 2,28/02/2020, 39m2
1.6 triệu/tháng, Huyện Thanh Trì, Xã Ngọc Hồi,27/02/2020, 25m2
2 triệu/tháng, Quận Hà Đông, Phường Phú La,27/02/2020, 20m2
5.5 triệu/tháng, Quận Ba Đình, Phường Ngọc Khánh,27/02/2020, 25m2
3.2 triệu/tháng, Quận Bắc Từ Liêm, Phường Xuân Đỉnh,27/02/2020, 30m2
1.2 triệu/tháng, Huyện Đông Anh,Địa chỉ: Xã Vĩnh Ngọc,26/02/2020, 25m2
5.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,26/02/2020, 40m2
2.5 triệu/tháng, Quận Thanh Xuân, Phường Thượng Đình,26/02/2020, 18m2
1 triệu/tháng, Quận Hoàng Mai, Phường Trần Phú,26/02/2020, 14m2
1.3 triệu/tháng, Quận Đống Đa, Phường Khâm Thiên,26/02/2020, 9m2
4 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,26/02/2020, 40m2
2.6 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,25/02/2020, 25m2
4.2 triệu/tháng, Quận Hà Đông, Phường Mỗ Lao,25/02/2020, 40m2
4 triệu/tháng, Quận Tây Hồ, Phường Tứ Liên,24/02/2020, 25m2
2.5 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,24/02/2020, 30m2
3.5 triệu/tháng, Quận Thanh Xuân, Phường Phương Liệt,24/02/2020, 20m2
2.2 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Lương,24/02/2020, 20m2
4.3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,23/02/2020, 40m2
3.9 triệu/tháng, Quận Hà Đông, Phường La Khê,23/02/2020, 30m2
2.5 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Lương,23/02/2020, 20m2
2.3 triệu/tháng, Quận Hoàng Mai, Phường Định Công,22/02/2020, 25m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Thịnh Liệt,22/02/2020, 20m2
2.7 triệu/tháng, Quận Bắc Từ Liêm,Địa chỉ: Đường Hoàng Công Chất,22/02/2020, 20m2
4.6 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,22/02/2020, 30m2
3.5 triệu/tháng, Quận Đống Đa, Phường Láng Hạ,22/02/2020, 33m2
2.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Tây Mỗ,22/02/2020, 35m2
3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng Hậu,21/02/2020, 20m2
3.3 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,21/02/2020, 25m2
6.5 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,21/02/2020, 35m2
4 triệu/tháng, Quận Hoàng Mai, Phường Lĩnh Nam,20/02/2020, 30m2
4.8 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,20/02/2020, 45m2
3.6 triệu/tháng, Quận Nam Từ Liêm, Phường Trung Văn,20/02/2020, 35m2
1.3 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,20/02/2020, 20m2
1.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,19/02/2020, 120m2
2.5 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Đô,19/02/2020, 17m2
2.7 triệu/tháng, Quận Đống Đa, Phường Phương Mai,19/02/2020, 20m2
2 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Văn Thụ,19/02/2020, 20m2
5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,19/02/2020, 28m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,19/02/2020, 20m2
1.7 triệu/tháng, Quận Đống Đa, Phường Trung Tự,18/02/2020, 20m2
5.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,18/02/2020, 50m2
4 triệu/tháng, Quận Đống Đa,Địa chỉ: Ngõ Yên Thế Đường Nguyễn Thái Học,18/02/2020, 40m2
3.1 triệu/tháng, Quận Ba Đình, Phường Liễu Giai,17/02/2020, 20m2
